fecha,fuente
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,https://twitter.com/abi_bolivia/status/1484725081477689348
2022-01-22,https://twitter.com/abi_bolivia/status/1485131145998057473
2022-01-23,https://twitter.com/abi_bolivia/status/1485449878800982019
2022-01-24,https://twitter.com/ahora_elpueblo/status/1485782679845064706
2022-01-25,https://twitter.com/abi_bolivia/status/1486162351816650753
2022-01-26,https://twitter.com/abi_bolivia/status/1486536231173328897
2022-01-27,https://twitter.com/abi_bolivia/status/1486901006558453763
2022-01-28,https://twitter.com/ahora_elpueblo/status/1487234875610603522
2022-01-29,https://twitter.com/abi_bolivia/status/1487633705371897858
2022-01-30,https://twitter.com/abi_bolivia/status/1487981208520650753
2022-01-31,https://twitter.com/abi_bolivia/status/1488366146965364737
2022-02-01,https://twitter.com/abi_bolivia/status/1488706514621644801
2022-02-02,https://twitter.com/abi_bolivia/status/1489085638498467842
2022-02-03,https://twitter.com/abi_bolivia/status/1489429732760375298
2022-02-04,https://twitter.com/abi_bolivia/status/1489798677199790082
2022-02-05,https://twitter.com/abi_bolivia/status/1490154158774702081
2022-02-06,https://twitter.com/abi_bolivia/status/1490527509317783552
2022-02-07,https://twitter.com/abi_bolivia/status/1490885216004575243
2022-02-08,https://twitter.com/abi_bolivia/status/1491372580212977664
2022-02-09,https://twitter.com/ahora_elpueblo/status/1491595096097099778
2022-02-10,https://twitter.com/pagina_siete/status/1491965210650767362
2022-02-11,https://twitter.com/ahora_elpueblo/status/1492325836120158208
2022-02-12,https://twitter.com/abi_bolivia/status/1492707439908589568
2022-02-13,https://twitter.com/abi_bolivia/status/1493193032421851136
2022-02-14,https://twitter.com/abi_bolivia/status/1493432074530922498
2022-02-15,https://twitter.com/abi_bolivia/status/1493770181205643264
2022-02-16,https://twitter.com/abi_bolivia/status/1494139034192400387
2022-02-17,https://twitter.com/abi_bolivia/status/1494501109418934273
2022-02-18,https://twitter.com/noticiasfides/status/1494853688875175937
2022-02-19,https://twitter.com/abi_bolivia/status/1495210214445891585
2022-02-20,https://twitter.com/pagina_siete/status/1495580006961004548
2022-02-21,https://twitter.com/abi_bolivia/status/1495953917729030145
2022-02-22,https://twitter.com/abi_bolivia/status/1496315912009691136
2022-02-23,https://twitter.com/abi_bolivia/status/1496681989616799744
2022-02-24,https://twitter.com/abi_bolivia/status/1497089066650664962
2022-02-25,https://twitter.com/ahora_elpueblo/status/1497413525722988549
2022-02-26,https://twitter.com/abi_bolivia/status/1497783929155186691
2022-02-27,https://twitter.com/abi_bolivia/status/1498256249841803264
2022-02-28,https://twitter.com/abi_bolivia/status/1498500789924286464
2022-03-01,https://twitter.com/abi_bolivia/status/1498850976840577024
2022-03-02,https://twitter.com/abi_bolivia/status/1499260319180464128
2022-03-03,https://twitter.com/abi_bolivia/status/1499584789031968768
2022-03-04,https://twitter.com/notiAsolysombra/status/1499961871243300868
2022-03-05,https://twitter.com/abi_bolivia/status/1500304043297673221
2022-03-06,https://twitter.com/abi_bolivia/status/1500655130311413761
2022-03-07,https://twitter.com/abi_bolivia/status/1501041714676469761
2022-03-08,https://twitter.com/ahora_elpueblo/status/1501367410271653891
2022-03-09,https://twitter.com/abi_bolivia/status/1501773101302001667
2022-03-10,https://twitter.com/abi_bolivia/status/1502093192207888392
2022-03-11,https://twitter.com/abi_bolivia/status/1502498302637473796
2022-03-12,https://twitter.com/abi_bolivia/status/1502868679293165568
2022-03-13,https://twitter.com/abi_bolivia/status/1503196321204736002
2022-03-14,https://twitter.com/ahora_elpueblo/status/1503575873559187459
2022-03-15,https://twitter.com/abi_bolivia/status/1503990677662670850
2022-03-16,https://twitter.com/notiAsolysombra/status/1504291045030473729
2022-03-17,https://twitter.com/ahora_elpueblo/status/1504640421544308749
2022-03-18,https://twitter.com/abi_bolivia/status/1505020324009578499
2022-03-19,https://twitter.com/abi_bolivia/status/1505359180676313090
2022-03-20,https://twitter.com/abi_bolivia/status/1505740616738684929
2022-03-21,https://twitter.com/ahora_elpueblo/status/1506096105443975182
2022-03-22,https://twitter.com/notiAsolysombra/status/1506472638570455041
2022-03-23,https://twitter.com/ahora_elpueblo/status/1506828272319008772
2022-03-24,https://twitter.com/ahora_elpueblo/status/1507188960065380356
2022-03-25,https://twitter.com/notiAsolysombra/status/1507570283447730179
2022-03-26,https://twitter.com/ahora_elpueblo/status/1507899438311919624
2022-03-27,https://twitter.com/ahora_elpueblo/status/1508261653309140993
2022-03-28,https://twitter.com/ahora_elpueblo/status/1508620433352015878
2022-03-29,https://twitter.com/ahora_elpueblo/status/1508985826344005632
2022-03-30,https://twitter.com/ahora_elpueblo/status/1509346087739478019
2022-03-31,https://twitter.com/ahora_elpueblo/status/1509734000591396867
2022-04-01,https://twitter.com/ahora_elpueblo/status/1510074921090789380
2022-04-02,https://twitter.com/ahora_elpueblo/status/1510465965657673730
2022-04-03,https://twitter.com/ahora_elpueblo/status/1510813881068834820
2022-04-04,
2022-04-05,https://twitter.com/ahora_elpueblo/status/1511522929695207424
2022-04-06,https://twitter.com/ahora_elpueblo/status/1511889178828496896
2022-04-07,https://twitter.com/ahora_elpueblo/status/1512247194744729601
2022-04-08,https://twitter.com/notiAsolysombra/status/1512633861053857792
2022-04-09,https://twitter.com/ahora_elpueblo/status/1512975398665003012
2022-04-10,https://twitter.com/ahora_elpueblo/status/1513338146192347142
2022-04-11,https://twitter.com/ahora_elpueblo/status/1513695018581643266
2022-04-12,https://twitter.com/ahora_elpueblo/status/1514051170737827851
2022-04-13,https://twitter.com/ahora_elpueblo/status/1514427495101067267
2022-04-14,https://twitter.com/ahora_elpueblo/status/1514788872248463370
2022-04-15,https://twitter.com/ahora_elpueblo/status/1515153239708160002
2022-04-16,https://twitter.com/ahora_elpueblo/status/1515514878357905408
2022-04-17,https://twitter.com/ahora_elpueblo/status/1515884171134214145
2022-04-18,https://www.unidoscontraelcovid.gob.bo/index.php/2022/04/19/reporte-vacunados-18-4-2022/
2022-04-19,https://twitter.com/ahora_elpueblo/status/1516603986673082372
2022-04-20,https://twitter.com/ahora_elpueblo/status/1516968665538727936
2022-04-21,https://twitter.com/ahora_elpueblo/status/1517318953147801601
2022-04-22,https://twitter.com/ahora_elpueblo/status/1517695232418226181
2022-04-23,https://twitter.com/ahora_elpueblo/status/1518031936291315713
2022-04-24,https://twitter.com/ahora_elpueblo/status/1518415142228164609
2022-04-25,https://twitter.com/ahora_elpueblo/status/1518783560546721792
2022-04-26,https://twitter.com/ahora_elpueblo/status/1519127264088129536
2022-04-27,https://twitter.com/ahora_elpueblo/status/1519510045037367298
2022-04-28,https://twitter.com/ahora_elpueblo/status/1519875297692495873
2022-04-29,https://www.unidoscontraelcovid.gob.bo/index.php/2022/05/02/reporte-vacunados-29-4-2022/
2022-04-30,https://twitter.com/ahora_elpueblo/status/1520602831119851520
2022-05-01,https://twitter.com/ahora_elpueblo/status/1520991517095206913
2022-05-02,https://twitter.com/ahora_elpueblo/status/1521290815028404224
2022-05-03,https://twitter.com/ahora_elpueblo/status/1521666741851484160
2022-05-04,https://twitter.com/ahora_elpueblo/status/1522030083468320768
2022-05-05,https://twitter.com/ahora_elpueblo/status/1522394870178066432
2022-05-06,https://twitter.com/ahora_elpueblo/status/1522771239307198464
2022-05-07,https://www.unidoscontraelcovid.gob.bo/index.php/2022/05/09/reporte-vacunados-07-5-2022/
2022-05-08,https://www.unidoscontraelcovid.gob.bo/index.php/2022/05/09/reporte-vacunados-08-5-2022/
2022-05-09,https://twitter.com/ahora_elpueblo/status/1523848954324074498
2022-05-10,https://twitter.com/ahora_elpueblo/status/1524223381469634566
2022-05-11,https://twitter.com/ahora_elpueblo/status/1524572224648359937
2022-05-12,https://twitter.com/ahora_elpueblo/status/1524940662981926934
2022-05-13,https://twitter.com/ahora_elpueblo/status/1525308527438438402
2022-05-14,https://twitter.com/ahora_elpueblo/status/1525673177212403715
2022-05-15,https://twitter.com/ahora_elpueblo/status/1526039293042511872
2022-05-16,https://twitter.com/ahora_elpueblo/status/1526380797468475395
2022-05-17,https://twitter.com/ahora_elpueblo/status/1526748415454871552
2022-05-18,https://twitter.com/ahora_elpueblo/status/1527110232589180928
2022-05-19,https://twitter.com/ahora_elpueblo/status/1527469391385796609
2022-05-20,https://twitter.com/ahora_elpueblo/status/1527836672448090112
2022-05-21,https://www.unidoscontraelcovid.gob.bo/index.php/2022/05/22/reporte-vacunados-21-5-2022/
2022-05-22,https://www.unidoscontraelcovid.gob.bo/index.php/2022/05/23/reporte-vacunados-22-5-2022/
2022-05-23,https://twitter.com/ahora_elpueblo/status/1528932271511678976
2022-05-24,https://twitter.com/ahora_elpueblo/status/1529283540264706048
2022-05-25,https://twitter.com/ahora_elpueblo/status/1529646963821465601
2022-05-26,https://twitter.com/ahora_elpueblo/status/1530027357813084160
2022-05-27,https://twitter.com/ahora_elpueblo/status/1530371611152596993
2022-05-28,https://twitter.com/ahora_elpueblo/status/1530751562292813825
2022-05-29,https://twitter.com/ahora_elpueblo/status/1531130593089658880
2022-05-30,https://twitter.com/ahora_elpueblo/status/1531451539088257024
2022-05-31,https://twitter.com/notiAsolysombra/status/1531842099326468096
2022-06-01,https://twitter.com/ahora_elpueblo/status/1532196614172905472
2022-06-02,https://twitter.com/notiAsolysombra/status/1532564370559053825
2022-06-03,https://twitter.com/ahora_elpueblo/status/1532915909433692160
2022-06-04,https://twitter.com/notiAsolysombra/status/1533280977497235457
2022-06-05,https://twitter.com/notiAsolysombra/status/1533650813796683777
2022-06-06,https://twitter.com/notiAsolysombra/status/1534019990394834944
2022-06-07,https://twitter.com/notiAsolysombra/status/1534369591199207424
2022-06-08,https://twitter.com/abi_bolivia/status/1534864672100433920
2022-06-09,https://twitter.com/notiAsolysombra/status/1535100321986449408
2022-06-10,https://twitter.com/notiAsolysombra/status/1535449602391932930
2022-06-11,https://twitter.com/abi_bolivia/status/1535841684994637824
2022-06-12,https://twitter.com/abi_bolivia/status/1536173374505775109
2022-06-13,https://twitter.com/notiAsolysombra/status/1536545500656197632
2022-06-14,https://twitter.com/ahora_elpueblo/status/1536898702169690112
2022-06-15,https://twitter.com/notiAsolysombra/status/1537272257763999744
2022-06-16,https://twitter.com/notiAsolysombra/status/1537624892044193792
2022-06-17,https://www.unidoscontraelcovid.gob.bo/index.php/2022/06/20/reporte-vacunados-17-6-2022-2/
2022-06-18,https://www.unidoscontraelcovid.gob.bo/index.php/2022/06/20/reporte-vacunados-18-6-2022/
2022-06-19,https://www.unidoscontraelcovid.gob.bo/index.php/2022/06/20/reporte-vacunados-19-6-2022/
2022-06-20,https://twitter.com/notiAsolysombra/status/1539086913625268224
2022-06-21,https://twitter.com/notiAsolysombra/status/1539440180620414976
2022-06-22,https://twitter.com/notiAsolysombra/status/1539811543705157633
2022-06-23,https://twitter.com/notiAsolysombra/status/1540162867072212995
2022-06-24,https://twitter.com/notiAsolysombra/status/1540537491215761408
2022-06-25,https://twitter.com/notiAsolysombra/status/1540907293729902592
2022-06-26,https://twitter.com/notiAsolysombra/status/1541252705259327490
2022-06-27,https://twitter.com/notiAsolysombra/status/1541616569641574402
2022-06-28,https://twitter.com/notiAsolysombra/status/1541984509863907329
2022-06-29,https://twitter.com/notiAsolysombra/status/1542348092162424832
2022-06-30,https://www.boliviatv.bo/principal/nota.php?noticia=12ea44692783b6694f613c1639e29c2e
2022-07-01,
2022-07-02,https://twitter.com/jornada7bolivia/status/1543455917475352582
2022-07-03,https://twitter.com/ahora_elpueblo/status/1543770378165800960
2022-07-04,https://twitter.com/notiAsolysombra/status/1544149001217400836
2022-07-05,https://twitter.com/notiAsolysombra/status/1544519825858387968
2022-07-06,https://twitter.com/notiAsolysombra/status/1544882775618117632
2022-07-07,https://twitter.com/notiAsolysombra/status/1545227097798594560
2022-07-08,https://twitter.com/notiAsolysombra/status/1545612120536088578
2022-07-09,https://twitter.com/notiAsolysombra/status/1545984570310291457
2022-07-10,https://twitter.com/noticiasfides/status/1546311160030543872
2022-07-11,https://twitter.com/ahora_elpueblo/status/1546683403055124480
2022-07-12,https://www.unidoscontraelcovid.gob.bo/index.php/2022/07/13/reporte-vacunados-12-07-2022/
2022-07-13,https://www.unidoscontraelcovid.gob.bo/index.php/2022/07/14/reporte-vacunados-13-07-2022/
2022-07-14,https://twitter.com/notiAsolysombra/status/1547781634455351296
2022-07-15,https://www.unidoscontraelcovid.gob.bo/index.php/2022/07/18/reporte-vacunados-15-07-2022/
2022-07-16,https://twitter.com/ahora_elpueblo/status/1548492685920518144
2022-07-17,https://www.minsalud.gob.bo/images/noticias22/vacusdom720.jpg
2022-07-18,https://twitter.com/Redchakana/status/1549239305901678593
2022-07-19,https://www.minsalud.gob.bo/images/noticias22/mapvac720.jpg
2022-07-20,https://www.minsalud.gob.bo/images/noticias22/miervacun0720.jpg
